Designator,Footprint,Quantity,Value,LCSC Part #
"B7, B8, B9, W1, W2, W3, W4, W5, W6",SolderWirePad_1x01_SMD_1x2mm,9,~,
"C1A1, C1B1",0805,2,10uF,
"C1C1, C3",0805,2,0.1uF,
"C2A1, C2B1",1206,2,22uF,
C4,0805,1,22nF,
C5,0805,1,470pF,
D1,0805,1,LED,
F1,FUSC4632X85N,1,MF-MSMF050-2,
IC1,SOTFL50P160X60-8N,1,MP2338GTL-P,
"J1, J3",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L1,MPLAL60606R8,1,6.8uH,
"Q1, Q2, Q3",SOT-23,3,AO3400A,
R1,0805,1,51k,
"R10, R12, R15",0805,3,100,
"R11, R13, R14, R6",0805,4,10k,
R2,0805,1,9.09k,
R3,0805,1,191k,
R4,0805,1,49.9k,
R5,0805,1,100k,
"R7, R8",0603,2,5.1k,
R9,2816,1,0.68,
TP1,TestPoint_Pad_D1.5mm,1,OUT 3V3,
TP2,TestPoint_Pad_D1.5mm,1,gnd,
U1,XCVR_ESP32-C3-DEVKITM-1,1,ESP32-C3-DEVKITM-1,
WG1,SolderWirePad_1x01_SMD_1x2mm,1,3V3 LEDG,
WG2,SolderWirePad_1x01_SMD_1x2mm,1,GND LEDG,
WO1,SolderWirePad_1x01_SMD_1x2mm,1,3V3 LEDO,
WO2,SolderWirePad_1x01_SMD_1x2mm,1,GND LED3,
WR1,SolderWirePad_1x01_SMD_1x2mm,1,3V3 LEDR,
WR2,SolderWirePad_1x01_SMD_1x2mm,1,GND LEDR,
